stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期
sz000099,中信海直,000099,0.2512,1497180609.0,6.3006070951,6.043,194892486.07,0.26,27.8806,3.77,0.66304243512,21.5876715806,航空机场,2024-10-30
sz000100,TCL科技,000100,0.0821,123131768609.0,-7.5351281756,6.1237,1525319763.0,-5.34,-29.8097,2.87,1.171554391238,11.9823696729,光学光电子,2024-10-30
sz000151,中成股份,000151,-0.4234,914906842.24,-59.3501530524,21.2498,-142846372.77,-1095.68,40.6007,-23.75,0.169001698748,-0.4481557838,贸易行业,2024-10-29
sz000153,丰原药业,000153,0.3169,3261422843.25,1.1585952367,-19.6816,147302850.89,3.4,-11.487,7.55,0.147278252836,22.5532644693,化学制药,2024-10-31
sz000155,川能动力,000155,0.3856,2277074667.79,-7.0161717672,-40.7413,629801178.08,11.69,-101.7142,7.35,0.670978431792,53.9377759172,电力行业,2024-10-31
sz000156,华数传媒,000156,0.1898,6348258990.11,-4.7878279877,-12.9091,351745336.08,-33.76,-16.9792,2.35,0.239593214235,31.8214497535,文化传媒,2024-10-31
sz000157,中联重科,000157,0.38,34385739092.48,-3.1773070329,-22.818,3139015862.65,9.95,-37.9863,5.5,0.139174438743,28.3714604411,工程机械,2024-10-31
sz000158,常山北明,000158,-0.178,4910279260.26,5.5982842486,8.0774,-284531814.05,-118.43,63.632,-4.98,-0.962238193973,10.1363507849,综合行业,2024-10-28
sz000159,国际实业,000159,-0.94,2432553852.23,-43.5376086224,-54.2335,-452075228.13,-883.59,-3761.2248,-20.32,-0.097990634148,6.800496502,石油行业,2024-10-25
sz000166,申万宏源,000166,0.15,17456312192.2,7.2067271941,26.6501,3849869120.27,-11.44,132.531,3.78,2.57549944141,,证券,2024-10-31
sz000301,东方盛虹,000301,-0.21,108301384933.75,4.460647852,-1.7367,-1419062479.87,-155.96,-2523.9516,-4.12,0.507321373365,8.5839469864,化学原料,2024-10-31
sz000333,美的集团,000333,4.58,320349787000.0,9.5663731161,-8.4296,31699114000.0,14.37,-7.7026,18.46,7.878297413838,26.7559663619,家电行业,2024-10-31
sz000338,潍柴动力,000338,0.97,161953578560.89,0.9792274816,-11.8441,8401015389.4,29.23,-24.4033,10.14,1.548782450912,21.8622878883,汽车零部件,2024-10-31
sz000400,许继电气,000400,0.8842,9586051242.34,-11.4859928239,-31.6827,894693268.75,10.41,-31.7037,8.02,0.781088897316,21.9410616968,电网设备,2024-10-31
sz000401,冀东水泥,000401,-0.1116,18557200512.65,-16.9492305621,-6.8719,-296767662.01,3.84,74.1513,-1.04,0.662871242723,18.127396564,水泥建材,2024-10-30
