stock_code,stock_name,股票代码,每股收益,营业总收入-营业总收入,营业总收入-同比增长,营业总收入-季度环比增长,净利润-净利润,净利润-同比增长,净利润-季度环比增长,净资产收益率,每股经营现金流量,销售毛利率,所处行业,最新公告日期,市盈率-动态,市净率,总市值,流通市值,流通股本(万股)
bj831396,许昌智能,831396.0,0.01,108130974.37,53.6508324751,-56.4413,1862179.15,30.41,-89.996,0.32,-0.303912988495,19.7316438184,电网设备,2025-04-28,158.26,3.14,1801456000.0,1578888540.0,145118432.0
bj831445,龙竹科技,,,,,,,,,,,,,,-,-,-,-,
bj831526,凯华材料,831526.0,0.04,26995495.61,-0.7050573621,-1.1303,3431762.22,-31.31,-41.2448,1.53,0.028075374002,27.8697612694,化学制品,2025-04-28,172.2,10.46,2314773000.0,1465765933.0,52367486.0
bj831627,力王股份,831627.0,0.07,169911688.67,25.2959185125,-8.3322,6469930.76,-10.45,-53.0002,1.43,0.26290982901,11.9939617336,电池,2025-04-28,142.75,5.93,2644600000.0,1310890000.0,46817500.0
bj831641,格利尔,831641.0,0.05,104529690.81,-10.8461852375,-7.5718,3965190.77,161.19,143.0561,1.13,-0.020014970704,17.0521055806,家电行业,2025-04-29,234.65,4.31,1478977500.0,879749697.0,44657345.0
bj831689,克莱特,831689.0,0.15,125079867.49,7.1061390611,-5.0116,11071505.23,-14.84,67.549,2.35,-0.130982438147,26.8981292714,通用设备,2025-04-25,44.29,5.5,2566798000.0,1326433676.0,37930617.0
bj831726,朱老六,831726.0,0.08,60279339.72,-20.1906408455,-9.7664,8046575.36,-32.28,1681.3711,1.82,0.282324541212,26.0056800934,食品饮料,2025-04-24,85.28,4.18,1870728000.0,1028876572.0,55917205.0
bj831768,拾比佰,831768.0,0.1,415793401.99,18.769141716,-4.6173,10911845.14,321.8,241.9546,1.66,-0.106968586285,10.9368958003,家电行业,2025-04-23,24.57,2.1,1435951800.0,990838950.0,76571789.0
bj831832,科达自控,831832.0,-0.08,67408327.68,0.9719379866,-62.8625,-6138327.68,-195.73,-159.3388,-0.89,-0.024072835145,40.532813052,软件开发,2025-04-29,310.64,4.07,2844459450.0,2326893615.0,86181245.0
bj831834,三维股份,831834.0,0.06,61660457.13,20.7709503043,-8.2565,7559856.5,61.46,16.1327,2.58,-0.027168170785,31.9263183996,塑料制品,2025-04-28,45.74,6.94,1962000082.0,1026721778.0,62796439.0
bj831855,浙江大农,831855.0,0.18,68375953.29,38.8386917696,-5.5992,13586908.18,99.03,-0.8526,2.41,0.053849573122,35.2696490208,通用设备,2025-04-22,31.27,2.67,1509613327.0,1354903102.0,67074411.0
bj831856,浩淼科技,831856.0,0.1,98397174.73,197.5146856422,-66.8424,9017826.77,241.98,-59.1816,1.97,0.507213807072,20.0793888993,专用设备,2025-04-24,58.38,3.8,1779819210.0,993602259.0,53105412.0
bj831906,舜宇精工,831906.0,-0.03,115778483.4,-2.3545760843,-57.1908,-1751852.36,-206.98,-110.8563,-0.32,-0.052089253194,14.2581723436,汽车零部件,2025-04-29,29.73,3.25,1878932400.0,959658809.0,
bj831961,创远信科,831961.0,0.04,60914101.63,27.4701688149,-14.0668,5657978.51,244.8119235714,-46.3242,0.74,0.304558018794,53.7280388354,通信设备,2025-04-25,316.54,5.23,3998105819.0,2907914828.0,103891205.0
bj832000,安徽凤凰,832000.0,0.13,90972487.72,-5.629378446,-24.9195,12089344.6,4.26,1.6863,1.97,0.191066461715,23.8675359487,汽车零部件,2025-04-22,32.04,3.34,2094888000.0,1103798955.0,48306300.0
bj832023,田野股份,832023.0,0.01,89057025.16,0.6652686951,-27.4684,4536726.53,-47.89,120.8893,0.38,-0.04377126714,22.2973692803,食品饮料,2025-04-29,43.79,1.18,1433591520.0,1177381361.0,268808528.0
bj832089,禾昌聚合,832089.0,0.22,434608264.18,32.2265061244,-12.8229,33843207.51,12.54,13.3443,2.98,-0.863020717671,16.1428784407,塑料制品,2025-04-22,18.24,2.25,2654770160.0,1647484431.0,93500819.0
bj832110,雷特科技,832110.0,0.27,41652666.99,-1.4383217411,-24.9291,10582985.88,37.38,-30.2136,2.87,0.263175863077,48.8014052615,电子元件,2025-04-25,37.37,4.39,1517100000.0,631697100.0,16239000.0
bj832145,恒合股份,832145.0,-0.04,8995736.95,18.9383404807,-69.2487,-3048635.42,23.2,-1448.7488,-1.15,-0.039601280794,8.2408380116,仪器仪表,2025-04-23,-162.64,6.91,1806080000.0,1246073600.0,48674750.0
bj832149,利尔达,832149.0,0.01,525680898.52,19.1395939583,5.9545,2971513.27,111.68,105.0158,0.43,0.060837634466,14.6752481472,贸易行业,2025-04-28,302.23,9.0,6438290100.0,1903704426.0,124669576.0
bj832171,志晟信息,832171.0,-0.05,13978801.57,43.2155308442,-85.7802,-4830230.15,36.27,88.0256,-2.28,-0.184532067832,51.5762968942,软件开发,2025-04-25,515.83,11.84,2565970816.0,1724802765.0,67375108.0
bj832175,东方碳素,832175.0,-0.15,65510157.24,-36.0720202401,0.0648,-18096027.65,-214.73,29.7882,-2.34,-0.01044731437,9.6736175228,非金属材料,2025-04-29,-12.57,1.98,1437520000.0,957652389.0,79275860.0
bj832225,利通科技,832225.0,0.28,124263536.83,23.1430235965,-18.835,35641008.17,86.13,-7.1403,5.15,0.238045609033,46.370356349,橡胶制品,2025-04-28,25.93,3.9,2732563788.0,1782299776.0,82782154.0
bj832278,鹿得医疗,832278.0,0.04,61093741.9,-7.4168308272,-44.4232,6334320.18,62.89,-30.7444,1.57,0.364158435,27.1009662284,医疗器械,2025-04-25,88.19,4.67,1751980000.0,743441920.0,74048000.0
