日期,目标股票,排除股票,第四天股票
2025-07-02 00:53,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603579.SH,603669.SH,603982.SH","sz000568,sz000596,sz000661,sz000858,sz001309,sz002371,sz002594,sz002821,sz002847,sz002850,sz002916,sz002920,sz003021,sh600436,sh600519,sh600563,sh600809,sh600941,sh601127,sh601799,sh603061,sh603129,sh603236,sh603290,sh603297,sh603325,sh603444,sh603501,sh603605,sh603893,sh603986,sh605499",
2025-07-02 09:11,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603579.SH,603669.SH,603982.SH",无,
2025-07-02 09:15,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603579.SH,603669.SH,603982.SH",无,
2025-07-02 09:16,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603579.SH,603669.SH,603982.SH",无,
2025-07-02 09:18,"000677.SZ,002103.SZ,002185.SZ,002246.SZ,003031.SZ,600281.SH,600366.SH,600562.SH,603040.SH,603127.SH,603579.SH,603669.SH,603982.SH",无,
2025-07-02 17:11,"000153.SZ,000677.SZ,002165.SZ,002185.SZ,002246.SZ,002581.SZ,002729.SZ,600281.SH,600396.SH,600744.SH,603040.SH,603124.SH,603127.SH,603823.SH,605006.SH",无,
2025-07-02 17:36,"000153.SZ,000677.SZ,002165.SZ,002246.SZ,002581.SZ,002729.SZ,600396.SH,600744.SH,603040.SH,603124.SH,603127.SH,603823.SH,605006.SH",无,
2025-07-04 00:39,"000078.SZ,000530.SZ,002206.SZ,600113.SH,600396.SH,600438.SH,600481.SH,600802.SH,600876.SH,601005.SH,603124.SH,603823.SH,605006.SH",无,
2025-07-04 09:17,"000078.SZ,000530.SZ,000677.SZ,002206.SZ,600113.SH,600396.SH,600438.SH,600481.SH,600802.SH,600876.SH,601005.SH,603040.SH,603124.SH,603127.SH,603823.SH,605006.SH",无,
2025-07-04 15:08,"000078.SZ,000530.SZ,000677.SZ,002206.SZ,600113.SH,600396.SH,600481.SH,600802.SH,600876.SH,601005.SH,603040.SH,603124.SH,603127.SH,603823.SH,605006.SH",无,
2025-07-05 00:35,"000530.SZ,000670.SZ,002093.SZ,600113.SH,600481.SH,600601.SH,600876.SH,601005.SH,603130.SH,603151.SH,605277.SH",无,
2025-07-08 01:15,"000670.SZ,001210.SZ,002093.SZ,002908.SZ,600423.SH,601208.SH,603130.SH",无,
2025-07-08 23:30,"002094.SZ,002153.SZ,002227.SZ,002324.SZ,002395.SZ,002537.SZ,002803.SZ,600423.SH,603086.SH,603976.SH,605028.SH",sz002095,
2025-07-10 09:46,"001269.SZ,001296.SZ,002094.SZ,002227.SZ,002324.SZ,002395.SZ,002865.SZ,600545.SH,603086.SH,603429.SH,603976.SH","sz001389,sz002095,sz002153,sz002803,sh603185",
2025-07-10 21:28,"000819.SZ,001296.SZ,002212.SZ,002865.SZ,600530.SH,600545.SH,603081.SH",无,
2025-07-11 09:08,"000819.SZ,001296.SZ,002212.SZ,002865.SZ,600530.SH,600545.SH,603081.SH",无,
2025-07-11 09:13,"000819.SZ,001296.SZ,002212.SZ,002865.SZ,600530.SH,600545.SH,603081.SH",无,
2025-07-11 21:42,"000819.SZ,000987.SZ,002107.SZ,002212.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,600530.SH,600939.SH,603081.SH,603439.SH,603719.SH",无,
2025-07-13 22:58,"000819.SZ,000987.SZ,002107.SZ,002212.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,600530.SH,600939.SH,603081.SH,603439.SH,603719.SH",无,
2025-07-13 23:07,"000819.SZ,000987.SZ,002107.SZ,002212.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,600939.SH,603081.SH,603439.SH,603719.SH",无,
2025-07-14 09:10,"000819.SZ,000987.SZ,002107.SZ,002212.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,600939.SH,603081.SH,603439.SH,603719.SH",无,
2025-07-14 22:00,"000758.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,002912.SZ,600281.SH,603719.SH",无,
2025-07-14 22:35,"000758.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,002912.SZ,600281.SH",无,
2025-07-15 09:10,"000758.SZ,002468.SZ,002506.SZ,002628.SZ,002633.SZ,002912.SZ,600281.SH",无,
2025-07-16 00:11,"002153.SZ,002511.SZ,002562.SZ,002912.SZ,002915.SZ,600268.SH,600281.SH,603013.SH,603350.SH",无,
2025-07-16 09:12,"002511.SZ,002562.SZ,002912.SZ,002915.SZ,600268.SH,600281.SH,603013.SH,603350.SH",sz002153,
2025-07-16 17:52,"002511.SZ,002915.SZ,600268.SH,603013.SH,603039.SH,603109.SH,603171.SH,603350.SH",无,
2025-07-17 09:03,"002511.SZ,002915.SZ,600268.SH,603013.SH,603039.SH,603109.SH,603171.SH,603350.SH",无,
2025-07-17 09:10,"002511.SZ,002915.SZ,600268.SH,603013.SH,603039.SH,603109.SH,603171.SH,603350.SH",无,
2025-07-17 17:46,"002900.SZ,002923.SZ,002995.SZ,603039.SH,603090.SH,603093.SH,603109.SH,603171.SH,603266.SH,603798.SH,603950.SH,605133.SH",无,
2025-07-17 22:45,"002511.SZ,002900.SZ,002915.SZ,002923.SZ,002995.SZ,603013.SH,603039.SH,603090.SH,603093.SH,603109.SH,603171.SH,603266.SH,603798.SH,603950.SH,605133.SH",无,
2025-07-18 00:21,"002511.SZ,002900.SZ,002915.SZ,002923.SZ,002995.SZ,603013.SH,603039.SH,603090.SH,603093.SH,603109.SH,603171.SH,603266.SH,603798.SH,603950.SH,605133.SH",无,
2025-07-18 00:43,"002511.SZ,002900.SZ,002915.SZ,002923.SZ,002995.SZ,603013.SH,603039.SH,603090.SH,603093.SH,603109.SH,603171.SH,603266.SH,603798.SH,603950.SH,605133.SH",无,
2025-07-18 09:22,"002511.SZ,002900.SZ,002915.SZ,002923.SZ,002995.SZ,603013.SH,603039.SH,603090.SH,603093.SH,603109.SH,603171.SH,603266.SH,603798.SH,603950.SH,605133.SH",无,
2025-07-21 13:53,"000796.SZ,001339.SZ,001359.SZ,001389.SZ,002542.SZ,603039.SH,603109.SH,603171.SH,603738.SH,605188.SH",sz002629,"603039.SH,603109.SH,603171.SH"
2025-07-21 23:46,"000758.SZ,000993.SZ,002167.SZ,002900.SZ,002923.SZ,600343.SH,600619.SH,600792.SH,603090.SH,603496.SH,605133.SH",无,无
2025-07-22 00:06,"000758.SZ,000993.SZ,002167.SZ,002900.SZ,002923.SZ,600343.SH,600619.SH,600792.SH,603090.SH,603496.SH,605133.SH",无,"002900.SZ,002923.SZ,603090.SH,605133.SH"
2025-07-22 00:59,"000758.SZ,000993.SZ,002167.SZ,002900.SZ,002923.SZ,600343.SH,600619.SH,600792.SH,603090.SH,603496.SH,605133.SH",无,"002900.SZ,002923.SZ,603090.SH,605133.SH"
2025-07-22 09:10,"000758.SZ,000993.SZ,002167.SZ,002900.SZ,002923.SZ,600343.SH,600619.SH,600792.SH,603090.SH,603496.SH,605133.SH",无,"002900.SZ,002923.SZ,603090.SH,605133.SH"
2025-07-23 12:45,"000401.SZ,000679.SZ,001389.SZ,002067.SZ,002132.SZ,002287.SZ,002398.SZ,002457.SZ,002671.SZ,600376.SH,600720.SH,600802.SH,600984.SH,601992.SH,603151.SH,603227.SH,603375.SH,603612.SH,603949.SH,603977.SH","sz000010,sz002809,sh600596,sh600939,sh601005",001389.SZ
2025-07-24 09:15,"000679.SZ,000758.SZ,002067.SZ,002167.SZ,002398.SZ,600376.SH,600792.SH,603612.SH,603949.SH","sh601005,sh601992,sh603109,sh603151","000758.SZ,002167.SZ,600792.SH"
2025-07-24 23:27,"000679.SZ,001277.SZ,002067.SZ,002398.SZ,002639.SZ,002771.SZ,600731.SH,601005.SH,601992.SH,603151.SH,603193.SH,603612.SH,605158.SH",无,无
2025-07-25 09:11,"000679.SZ,001277.SZ,002067.SZ,002398.SZ,002639.SZ,002771.SZ,600731.SH,603193.SH,603612.SH,605158.SH","sh601005,sh601992,sh603151",无
2025-07-28 09:13,"000657.SZ,000970.SZ,002240.SZ,002320.SZ,002889.SZ,600114.SH,600259.SH,600410.SH,603630.SH",sh603109,无
2025-07-28 09:15,"000657.SZ,000970.SZ,002240.SZ,002320.SZ,002889.SZ,600114.SH,600259.SH,600410.SH,603630.SH",sh603109,无
2025-07-28 15:24,"002771.SZ,002843.SZ,002975.SZ,600731.SH,600835.SH,603193.SH,603226.SH,603528.SH,603716.SH,603725.SH,603976.SH,605088.SH,605259.SH",无,无
2025-07-29 09:13,"002771.SZ,002843.SZ,002975.SZ,600731.SH,603193.SH,603528.SH,603725.SH,603976.SH",sh605259,"002771.SZ,600731.SH,603193.SH"
2025-07-29 15:32,"002174.SZ,002796.SZ,600114.SH,600513.SH,603630.SH,605118.SH,605299.SH",无,无
2025-07-30 01:12,"002174.SZ,002796.SZ,600114.SH,600513.SH,603630.SH,605118.SH,605299.SH",无,"600114.SH,603630.SH"
2025-07-30 01:32,"002174.SZ,002796.SZ,600114.SH,600513.SH,603630.SH,605118.SH,605299.SH",无,"600114.SH,603630.SH"
2025-07-30 09:14,"002174.SZ,002796.SZ,600114.SH,600513.SH,603630.SH,605118.SH,605299.SH",无,"600114.SH,603630.SH"
2025-07-30 23:39,"002793.SZ,002975.SZ,600391.SH,601089.SH,603063.SH,603229.SH,603725.SH,605277.SH",sh605259,无
2025-07-31 00:22,"002793.SZ,002975.SZ,600391.SH,601089.SH,603063.SH,603229.SH,603725.SH,605277.SH",sh605259,"002975.SZ,603725.SH"
2025-07-31 09:15,"002793.SZ,002975.SZ,600391.SH,601089.SH,603063.SH,603229.SH,603725.SH,605277.SH",sh605259,"002975.SZ,603725.SH"
