行业代码,行业名称,上级行业,成份个数,静态市盈率,TTM(滚动)市盈率,市净率,静态股息率
858811.SI,其他运输设备,摩托车及其他,7,16.29,14.13,2.65,3.06
858812.SI,摩托车,摩托车及其他,8,41.82,31.65,4.26,2.09
850952.SI,综合乘用车,乘用车,5,20.74,22.99,0.98,1.6
850912.SI,商用载货车,商用车,8,28.42,24.23,1.49,2.09
850913.SI,商用载客车,商用车,5,19.94,16.02,4.39,4.05
851112.SI,空调,白色家电,3,11.35,10.53,2.25,5.82
851116.SI,冰洗,白色家电,7,13.04,11.6,2.07,4.54
851122.SI,其他黑色家电,黑色家电,6,73.74,58.2,3.74,0.82
851131.SI,厨房小家电,小家电,9,18.42,18.4,3.06,4.1
851141.SI,厨房电器,厨卫电器,6,15.26,16.95,1.84,3.8
851151.SI,照明设备Ⅲ,照明设备Ⅱ,12,22.95,28.31,2.22,3.16
851161.SI,家电零部件Ⅲ,家电零部件Ⅱ,30,51.09,44.97,4.58,0.76
851241.SI,肉制品,食品加工,7,21.28,21.55,3.32,4.64
851246.SI,预加工食品,食品加工,10,24.11,25.77,2.21,2.93
851247.SI,保健品,食品加工,8,34.79,31.8,2.67,2.26
851251.SI,白酒Ⅲ,白酒Ⅱ,20,17.31,18.26,4.94,4.41
851232.SI,啤酒,非白酒,7,23.64,20.55,2.86,3.06
851233.SI,其他酒类,非白酒,9,43.85,45.03,2.28,1.51
851271.SI,软饮料,饮料乳品,8,31.75,28.7,5.3,2.97
851243.SI,乳品,饮料乳品,18,23.77,24.37,2.77,4.85
851281.SI,零食,休闲食品,11,31.6,30.62,5.0,2.25
851282.SI,烘焙食品,休闲食品,9,23.31,27.6,2.39,2.42
851242.SI,调味发酵品Ⅲ,调味发酵品Ⅱ,14,30.5,29.23,4.22,2.83
851312.SI,棉纺,纺织制造,8,22.12,18.02,1.26,2.77
851314.SI,印染,纺织制造,4,13.92,15.23,1.43,2.82
851315.SI,辅料,纺织制造,3,19.3,21.7,2.39,2.71
851316.SI,其他纺织,纺织制造,15,33.7,36.87,2.54,1.29
851325.SI,鞋帽及其他,服装家纺,11,24.4,29.93,3.07,1.79
851326.SI,家纺,服装家纺,6,22.99,21.17,2.41,4.45
851329.SI,非运动服装,服装家纺,38,17.63,17.61,1.37,3.57
851331.SI,钟表珠宝,饰品,13,22.15,24.53,2.49,3.46
851412.SI,大宗用纸,造纸,11,21.73,21.4,1.54,1.86
851413.SI,特种纸,造纸,12,27.43,36.2,1.92,1.98
851422.SI,印刷,包装印刷,4,48.74,45.18,4.86,0.93
851423.SI,金属包装,包装印刷,7,36.33,32.42,2.64,0.95
851424.SI,塑料包装,包装印刷,6,18.49,14.27,2.47,3.28
851425.SI,纸包装,包装印刷,19,34.1,33.34,2.76,1.8
851436.SI,瓷砖地板,家居用品,13,26.19,27.84,1.73,1.65
851437.SI,成品家居,家居用品,16,21.89,19.92,2.53,2.5
851438.SI,定制家居,家居用品,13,15.54,17.43,1.96,4.07
851439.SI,卫浴制品,家居用品,7,29.11,38.26,2.25,1.7
851491.SI,其他家居用品,家居用品,23,24.27,25.8,4.57,2.41
851452.SI,娱乐用品,文娱用品,17,42.9,42.83,2.91,0.79
851511.SI,原料药,化学制药,42,30.93,33.85,2.66,1.28
851512.SI,化学制剂,化学制药,108,32.48,32.27,3.04,1.22
851521.SI,中药Ⅲ,中药Ⅱ,67,22.2,21.34,2.39,2.82
851522.SI,血液制品,生物制品,7,20.54,24.78,1.71,1.11
851523.SI,疫苗,生物制品,13,45.7,46.71,1.6,1.96
