date,up_count,down_count
2025-02-17,3393,1596
2025-02-18,662,4327
2025-02-19,4292,697
2025-02-20,3092,1897
2025-02-21,2642,2347
2025-02-22,0,0
2025-02-23,0,0
2025-02-24,2596,2390
2025-02-25,1424,3560
2025-02-26,3987,998
2025-02-27,1896,3087
2025-02-28,474,4510
2025-03-01,0,0
2025-03-02,0,0
2025-03-03,2935,2047
2025-03-04,3760,1224
2025-03-05,2103,2880
2025-03-06,4142,839
2025-03-07,1535,3447
2025-03-08,0,0
2025-03-09,0,0
2025-03-10,2985,1996
2025-03-11,2667,2317
2025-03-12,2415,2569
2025-03-13,1321,3665
2025-03-14,4172,813
2025-03-15,0,0
2025-03-16,0,0
2025-03-17,2863,2121
2025-03-18,2780,2207
2025-03-19,1436,3549
2025-03-20,1885,3101
2025-03-21,907,4080
2025-03-22,0,0
2025-03-23,0,0
2025-03-24,1243,3748
2025-03-25,2195,2797
2025-03-26,3385,1607
2025-03-27,1741,3250
2025-03-28,877,4112
2025-03-29,0,0
2025-03-30,0,0
2025-03-31,1248,3877
2025-04-01,3651,1473
2025-04-02,2630,2495
2025-04-03,1914,3210
2025-04-04,0,0
2025-04-05,0,0
2025-04-06,0,0
2025-04-07,89,4904
2025-04-08,2998,1994
2025-04-09,4271,855
2025-04-10,4692,433
2025-04-11,3128,1996
2025-04-12,0,0
2025-04-13,0,0
2025-04-14,4321,801
2025-04-15,2312,2808
2025-04-16,953,4171
2025-04-17,2927,2196
2025-04-18,2198,2924
2025-04-19,0,0
2025-04-20,0,0
2025-04-21,4154,968
2025-04-22,2459,2661
2025-04-23,3028,2094
2025-04-24,1505,3615
2025-04-25,2723,2396
2025-04-26,0,0
2025-04-27,0,0
2025-04-28,1182,3931
2025-04-29,3377,1711
2025-04-30,3204,1888
2025-05-01,0,0
2025-05-02,0,0
2025-05-03,0,0
2025-05-04,0,0
2025-05-05,0,0
2025-05-06,4693,419
2025-05-07,3127,1987
2025-05-08,3671,1444
2025-05-09,1116,3999
2025-05-10,0,0
2025-05-11,0,0
2025-05-12,3861,1254
2025-05-13,1877,3238
2025-05-14,2145,2970
2025-05-15,1270,3844
2025-05-16,2864,2249
2025-05-17,0,0
2025-05-18,0,0
2025-05-19,3391,1717
2025-05-20,3591,1523
2025-05-21,1550,3560
2025-05-22,859,4247
2025-05-23,1044,4064
2025-05-24,0,0
2025-05-25,0,0
2025-05-26,3543,1564
2025-05-27,2535,2572
2025-05-28,1692,3413
2025-05-29,4215,892
2025-05-30,1074,4031
2025-05-31,0,0
2025-06-01,0,0
2025-06-02,0,0
2025-06-03,3184,1917
2025-06-04,3774,1333
2025-06-05,2561,2546
2025-06-06,2476,2634
2025-06-07,0,0
2025-06-08,0,0
2025-06-09,3891,1215
2025-06-10,1169,3942
2025-06-11,3216,1897
2025-06-12,2184,2928
2025-06-13,792,4320
2025-06-14,0,0
2025-06-15,0,0
2025-06-16,3363,1752
2025-06-17,2149,2971
2025-06-18,1726,3394
2025-06-19,688,4431
2025-06-20,1460,3659
2025-06-21,0,0
2025-06-22,0,0
2025-06-23,4197,917
2025-06-24,4510,608
2025-06-25,3721,1398
2025-06-26,1519,3602
2025-06-27,3215,1902
2025-06-28,0,0
2025-06-29,0,0
2025-06-30,3856,1262
2025-07-01,2508,2608
2025-07-02,1850,3266
2025-07-03,3112,2004
2025-07-04,1140,3977
2025-07-05,0,0
2025-07-06,0,0
2025-07-07,3135,1982
