datetime,stock_code,action,target_value,current_value,shares,price,resulting_ratio
2024-09-25 00:00:00,600370.SH,REBAL_BUY,46968.45,45360.0,1100,1.44,0.2
2024-09-25 00:00:00,002123.SZ,REBAL_BUY,46968.45,44591.0,300,7.32,0.2
2024-09-25 00:00:00,002291.SZ,REBAL_BUY,46968.45,45105.0,300,4.85,0.2
2024-09-25 00:00:00,002031.SZ,REBAL_BUY,46968.45,45090.0,600,2.7,0.2
2024-09-25 00:00:00,000560.SZ,REBAL_BUY,46968.45,2810.0,15700,2.81,0.2
2024-09-26 00:00:00,600370.SH,REBAL_SELL,46203.43,49552.0,2200,1.52,0.2
2024-09-26 00:00:00,002291.SZ,REBAL_SELL,46203.43,47712.0,300,4.97,0.2
2024-09-26 00:00:00,002031.SZ,REBAL_SELL,46203.43,47748.0,500,2.76,0.2
2024-09-26 00:00:00,000560.SZ,REBAL_SELL,46203.43,51603.0,1700,3.09,0.2
2024-09-27 00:00:00,600370.SH,REBAL_BUY,49259.43,48640.0,300,1.6,0.2
2024-09-27 00:00:00,002291.SZ,REBAL_BUY,49259.43,47988.0,200,5.17,0.2
2024-09-27 00:00:00,002031.SZ,REBAL_BUY,49259.43,48216.0,300,2.87,0.2
2024-09-27 00:00:00,000560.SZ,REBAL_SELL,49259.43,51000.0,500,3.4,0.2
2024-09-30 00:00:00,002123.SZ,REBAL_BUY,55323.0,54016.0,100,8.45,0.2
2024-09-30 00:00:00,002291.SZ,REBAL_BUY,55323.0,53960.0,200,5.69,0.2
2024-09-30 00:00:00,000560.SZ,REBAL_BUY,55323.0,54230.0,200,3.74,0.2
2024-10-08 00:00:00,002123.SZ,REBAL_SELL,58286.37,60320.0,200,9.27,0.2
2024-10-09 09:30:00,002976.SZ,BUY_ALLOC,59456.77,0.0,2400,24.21,0.19545
2024-10-09 09:31:00,000678.SZ,BUY_ALLOC,59441.36,0.0,10500,5.64,0.199255
2024-10-09 09:31:00,600336.SH,BUY_ALLOC,59645.44,0.0,9000,6.62,0.199781
2024-10-09 09:32:00,002444.SZ,BUY_ALLOC,59747.48,0.0,1800,30.84,0.185822
2024-10-09 00:00:00,002123.SZ,REBAL_SELL,60069.53,64323.0,400,10.2,0.2
2024-10-09 00:00:00,002976.SZ,REBAL_BUY,60069.53,55512.0,100,23.15,0.2
2024-10-14 09:30:00,600792.SH,BUY_ALLOC,55643.31,0.0,15500,3.57,0.198892
2024-10-14 09:30:00,600889.SH,BUY_ALLOC,55637.78,0.0,9300,5.97,0.19958
2024-10-14 09:33:00,000520.SZ,BUY_ALLOC,55613.63,0.0,20000,2.77,0.199232
2024-10-14 00:00:00,600792.SH,REBAL_SELL,55648.09,57970.0,600,3.74,0.2
2024-10-14 00:00:00,600889.SH,REBAL_SELL,55648.09,57660.0,300,6.19,0.2
2024-10-14 00:00:00,000520.SZ,REBAL_SELL,55648.09,57200.0,500,2.86,0.2
2024-10-15 09:31:00,600281.SH,BUY_ALLOC,56443.89,0.0,15600,3.6,0.198994
2024-10-15 09:31:00,605399.SH,BUY_ALLOC,56750.27,0.0,4500,12.34,0.1957
2024-10-15 09:35:00,603900.SH,BUY_ALLOC,57032.72,0.0,900,6.06,0.019126
2024-10-15 00:00:00,000520.SZ,REBAL_SELL,56135.34,61425.0,1600,3.15,0.2
2024-10-15 00:00:00,603900.SH,REBAL_BUY,56135.34,6318.0,7000,7.03,0.2
2024-10-16 09:30:00,000697.SZ,BUY_ALLOC,55632.82,0.0,7100,7.73,0.197304
2024-10-16 09:30:00,600114.SH,BUY_ALLOC,55613.13,0.0,300,17.5,0.01888
2024-10-16 09:31:00,600577.SH,BUY_ALLOC,55610.93,0.0,300,5.25,0.005664
2024-10-16 00:00:00,600114.SH,REBAL_BUY,56184.47,5430.0,2800,18.12,0.2
2024-10-16 00:00:00,600577.SH,REBAL_BUY,56184.47,1602.0,10200,5.35,0.2
2024-10-17 09:31:00,600965.SH,BUY_ALLOC,56648.14,0.0,13200,4.27,0.198997
2024-10-17 11:09:00,002231.SZ,BUY_ALLOC,56748.1,0.0,800,5.74,0.016184
2024-10-17 00:00:00,603900.SH,REBAL_BUY,56959.26,54352.0,300,6.89,0.2
2024-10-17 00:00:00,600965.SH,REBAL_BUY,56959.26,55704.0,200,4.22,0.2
2024-10-17 00:00:00,002231.SZ,REBAL_BUY,56959.26,4640.0,9000,5.81,0.2
2024-10-18 09:30:00,600279.SH,BUY_ALLOC,56803.23,0.0,12700,4.46,0.199432
2024-10-18 09:30:00,601005.SH,BUY_ALLOC,56797.56,0.0,400,1.33,0.001873
2024-10-18 00:00:00,600114.SH,REBAL_SELL,56415.88,58962.0,100,19.0,0.2
2024-10-18 00:00:00,002231.SZ,REBAL_SELL,56415.88,59388.0,400,6.05,0.2
2024-10-18 00:00:00,600279.SH,REBAL_SELL,56415.88,57912.0,300,4.56,0.2
2024-10-18 00:00:00,601005.SH,REBAL_BUY,56415.88,540.0,41300,1.35,0.2
2024-10-21 00:00:00,002231.SZ,REBAL_SELL,56698.44,62698.0,800,6.66,0.2
2024-10-22 09:31:00,000810.SZ,BUY_ALLOC,57609.04,0.0,4900,11.75,0.199882
2024-10-22 10:12:00,603339.SH,BUY_ALLOC,57613.08,0.0,5200,11.05,0.199469
2024-10-22 00:00:00,000810.SZ,REBAL_SELL,58238.64,63896.0,400,13.03,0.2
2024-10-23 09:30:00,603636.SH,BUY_ALLOC,59686.44,0.0,5300,11.16,0.198196
2024-10-23 00:00:00,603339.SH,REBAL_BUY,59258.91,57668.0,100,11.1,0.2
2024-10-23 00:00:00,603636.SH,REBAL_BUY,59258.91,57717.0,100,10.9,0.2
2024-10-24 09:30:00,002708.SZ,BUY_ALLOC,59113.71,0.0,6700,8.81,0.199707
2024-10-24 09:31:00,002645.SZ,BUY_ALLOC,59094.41,0.0,7400,7.94,0.198855
2024-10-24 09:31:00,002717.SZ,BUY_ALLOC,59088.54,0.0,29800,1.98,0.199714
2024-10-24 13:20:00,603081.SH,BUY_ALLOC,59380.64,0.0,100,10.36,0.003489
2024-10-24 00:00:00,002645.SZ,REBAL_BUY,59582.22,57868.0,200,7.83,0.2
2024-10-24 00:00:00,002717.SZ,REBAL_SELL,59582.22,68242.0,3700,2.29,0.2
2024-10-24 00:00:00,603081.SH,REBAL_BUY,59582.22,1027.0,5700,10.28,0.2
2024-10-25 09:39:00,002671.SZ,BUY_ALLOC,61234.76,0.0,13800,4.43,0.199671
2024-10-25 00:00:00,002717.SZ,REBAL_SELL,61504.64,65772.0,1600,2.52,0.2
2024-10-25 00:00:00,002671.SZ,REBAL_SELL,61504.64,62100.0,100,4.5,0.2
2024-10-28 00:00:00,002645.SZ,REBAL_BUY,64577.49,60800.0,400,8.01,0.2
2024-10-28 00:00:00,002717.SZ,REBAL_SELL,64577.49,67865.0,1100,2.77,0.2
2024-10-28 00:00:00,603081.SH,REBAL_BUY,64577.49,61480.0,200,10.61,0.2
2024-10-28 00:00:00,002671.SZ,REBAL_BUY,64577.49,63020.0,300,4.6,0.2
2024-10-29 11:18:00,600743.SH,BUY_ALLOC,67309.09,0.0,40700,1.65,0.199542
2024-10-29 00:00:00,002717.SZ,REBAL_SELL,66779.16,71370.0,1500,3.05,0.2
